,ProductName,CorrectedPrice,BBScrapedPrice,BBCorrectedPrice,ScrapedIndexVendor,ScrapedIndexVendorType,BBVendorType,BBVendor
0,"#1 BEST Probiotic Supplement - 60 Day Supply with 100% Moneyback Guarantee - Improve Digestion, Bowel Regularity, & Increase Energy with the Most Potent Probiotic...",20.99,25.02,25.02,Supplement Warriors,Other,FBA,Sold by Sharp Nutrition and Fulfilled by Amazon.
1,"#1 BEST Probiotic Supplement - 60 Day Supply with 100% Moneyback Guarantee - Improve Digestion, Bowel Regularity, & Increase Energy with the Most Potent Probiotic...",25.02,25.02,25.02,Sharp Nutrition,FBA,FBA,Sold by Sharp Nutrition and Fulfilled by Amazon.
2,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",3.96,4.9,9.97,speedy tests,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
3,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",3.96,4.9,9.97,Drug Abuse Control,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
4,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",3.96,4.9,9.97,Lowest Priced Tests,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
5,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",3.96,4.9,9.97,speedy tests,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
6,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",6.5,4.9,9.97,"Uritox, LLC",Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
7,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",7.99,4.9,9.97,mynewwhip,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
8,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",8.49,4.9,9.97,ChopShopDeals,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
9,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",8.99,4.9,9.97,American Screening Corporation,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
10,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",9.04,4.9,9.97,American Screening Corporation,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
11,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",9.86,4.9,9.97,Lowest Priced Tests,FBA,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
12,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",9.97,4.9,9.97,Michael Minyety,FBA,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
13,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",9.99,4.9,9.97,SWAPMEETDEALS,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
14,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",10.0,4.9,9.97,American Pumpkins,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
15,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",14.48,4.9,9.97,gnarlydealz,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
16,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",14.48,4.9,9.97,Kangaroo Discounting,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
17,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",33.54,4.9,9.97,Isabel&Nate Books,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
18,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",35.49,4.9,9.97,ELIOROSE,Other,FBA,Sold by Michael Minyety and Fulfilled by Amazon.
19,"2wayz FULL METAL BODY Garden Hose Splitter | Y Ball Valve Connector for Your Soaker Hose, outdoor faucet, sprinkler & drip irrigation systems. Includes: 10 Rubber Washers + 3 Years Guarantee. Enjoy!",40.0,9.97,9.97,Irtenzia,Other,O,
20,"2wayz FULL METAL BODY Garden Hose Splitter | Y Ball Valve Connector for Your Soaker Hose, outdoor faucet, sprinkler & drip irrigation systems. Includes: 10 Rubber Washers + 3 Years Guarantee. Enjoy!",54.94,9.97,9.97,Mild Shop,Other,O,
21,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,6.79,6.79,6.79,Happy DRH,Other,O,Ships from and sold by Happy DRH.
22,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,8.970000000000002,6.79,6.79,MODA Eyewear,Other,O,Ships from and sold by Happy DRH.
23,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,12.48,6.79,6.79,MyLux Connection,Other,O,Ships from and sold by Happy DRH.
24,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,13.89,6.79,6.79,OnlineWelcome,Other,O,Ships from and sold by Happy DRH.
25,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,14.68,6.79,6.79,VeryHobby,Other,O,Ships from and sold by Happy DRH.
26,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,14.99,6.79,6.79,palebluedot,Other,O,Ships from and sold by Happy DRH.
27,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,15.54,6.79,6.79,palebluedot,FBA,O,Ships from and sold by Happy DRH.
28,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,15.54,6.79,6.79,OnlineWelcome,FBA,O,Ships from and sold by Happy DRH.
29,3 Pair Motorcycle Riding Glasses Smoke Clear Yellow,20.57,6.79,6.79,MyLux Connection,FBA,O,Ships from and sold by Happy DRH.
30,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),41.35,41.35,41.35,Solutions Pest & Lawn,Other,O,Ships from and sold by Solutions Pest & Lawn.
31,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),42.92,41.35,41.35,Jamlyn-Supply,Other,O,Ships from and sold by Solutions Pest & Lawn.
32,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),42.92,41.35,41.35,Dibbs Farms,Other,O,Ships from and sold by Solutions Pest & Lawn.
33,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),42.92,41.35,41.35,shipnickel,Other,O,Ships from and sold by Solutions Pest & Lawn.
34,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),44.95,41.35,41.35,Seed Barn,Other,O,Ships from and sold by Solutions Pest & Lawn.
35,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),45.74,41.35,41.35,Seed Ranch,Other,O,Ships from and sold by Solutions Pest & Lawn.
36,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),46.65,41.35,41.35,All Bugs Out,Other,O,Ships from and sold by Solutions Pest & Lawn.
37,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),52.99,41.35,41.35,U-Spray Bugspray,Other,O,Ships from and sold by Solutions Pest & Lawn.
38,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),52.99,41.35,41.35,U-Spray Bugspray,Other,O,Ships from and sold by Solutions Pest & Lawn.
39,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),52.99,41.35,41.35,U-Spray Bugspray,Other,O,Ships from and sold by Solutions Pest & Lawn.
40,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),52.99,41.35,41.35,U-Spray Bugspray,Other,O,Ships from and sold by Solutions Pest & Lawn.
41,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),52.99,41.35,41.35,U-Spray Bugspray,Other,O,Ships from and sold by Solutions Pest & Lawn.
42,3/4 gal Talstar Pro / One Multi Use Pest Control Insecticide (96 ounce jug),61.15,41.35,41.35,Pest Control Pros,FBA,O,Ships from and sold by Solutions Pest & Lawn.
